;COVID;бхоюдй╡б;мнбху;сйпю╞мх;убнпнах;сйпю╞м╡;й╡кэй╡ярэ;йнпнмюб╡псямн╞;мюяекеммъ;бюйжхмюж╡╞;гднпнб▓ъ;гпнярюммъ;кчрнцн;накюяр╡;нунпнмх;рхфмъ;днб╡дйю;й╡кэйняр╡;л╡м╡ярп;ноепюж╡и;
COVID;0.0;8.0;5.0;2.0;2.0;6.0;3.0;2.0;0.0;0.0;2.0;3.0;1.0;1.0;2.0;2.0;0.0;1.0;1.0;0.0;
бхоюдй╡б;8.0;0.0;7.0;0.0;1.0;4.0;3.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;
мнбху;5.0;7.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;
сйпю╞мх;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;
убнпнах;2.0;1.0;0.0;0.0;0.0;2.0;0.0;4.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;
сйпю╞м╡;6.0;4.0;2.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;
й╡кэй╡ярэ;3.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;
йнпнмюб╡псямн╞;2.0;2.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
мюяекеммъ;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;
бюйжхмюж╡╞;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;
гднпнб▓ъ;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;5.0;1.0;0.0;0.0;1.0;0.0;
гпнярюммъ;3.0;3.0;1.0;0.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;
кчрнцн;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;
накюяр╡;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
нунпнмх;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;
рхфмъ;2.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
днб╡дйю;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;
й╡кэйняр╡;1.0;3.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
л╡м╡ярп;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
ноепюж╡и;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;
